x y z
-1.888 -2.755 0.717
-1.888 -2.551 0.658
-1.888 -2.347 0.601
-1.888 -2.143 0.545
-1.888 -1.939 0.492
-1.888 -1.735 0.440
-1.888 -1.531 0.392
-1.888 -1.327 0.372
-1.888 -1.122 0.826
-1.888 -0.918 1.176
-1.888 -0.714 1.414
-1.888 -0.510 1.599
-1.888 -0.306 1.761
-1.888 -0.102 1.922
-1.888 0.102 2.096
-1.888 0.306 2.289
-1.888 0.510 2.501
-1.888 0.714 2.727
-1.888 0.918 2.960
-1.888 1.122 3.195
-1.888 1.327 3.427
-1.888 1.531 3.654
-1.888 1.735 3.874
-1.888 1.939 4.087
-1.888 2.143 4.293
-1.888 2.347 4.492
-1.888 2.551 4.683
-1.888 2.755 4.869
-1.888 2.959 5.048
-1.888 3.163 5.222
-1.888 3.367 5.391
-1.888 3.571 5.555
-1.888 3.776 5.715
-1.888 3.980 5.871
-1.888 4.184 6.023
-1.888 4.388 6.173
-1.888 4.592 6.318
-1.888 4.796 6.462
-1.888 5.000 6.602
-1.786 -5.000 1.402
-1.786 -4.796 1.337
-1.786 -4.592 1.272
-1.786 -4.388 1.208
-1.786 -4.184 1.143
-1.786 -3.980 1.079
-1.786 -3.776 1.015
-1.786 -3.571 0.952
-1.786 -3.367 0.889
-1.786 -3.163 0.826
-1.786 -2.959 0.765
-1.786 -2.755 0.704
-1.786 -2.551 0.644
-1.786 -2.347 0.586
-1.786 -2.143 0.529
-1.786 -1.939 0.474
-1.786 -1.735 0.421
-1.786 -1.531 0.371
-1.786 -1.327 0.325
-1.786 -1.122 0.568
-1.786 -0.918 0.982
-1.786 -0.714 1.238
-1.786 -0.510 1.424
-1.786 -0.306 1.582
-1.786 -0.102 1.738
-1.786 0.102 1.913
-1.786 0.306 2.113
-1.786 0.510 2.337
-1.786 0.714 2.577
-1.786 0.918 2.824
-1.786 1.122 3.073
-1.786 1.327 3.317
-1.786 1.531 3.554
-1.786 1.735 3.783
-1.786 1.939 4.003
-1.786 2.143 4.214
-1.786 2.347 4.418
-1.786 2.551 4.613
-1.786 2.755 4.802
-1.786 2.959 4.984
-1.786 3.163 5.161
-1.786 3.367 5.332
-1.786 3.571 5.498
-1.786 3.776 5.660
-1.786 3.980 5.818
-1.786 4.184 5.972
-1.786 4.388 6.122
-1.786 4.592 6.269
-1.786 4.796 6.413
-1.786 5.000 6.555
-1.684 -5.000 1.397
-1.684 -4.796 1.331
-1.684 -4.592 1.266
-1.684 -4.388 1.201
-1.684 -4.184 1.136
-1.684 -3.980 1.071
-1.684 -3.776 1.007
-1.684 -3.571 0.943
-1.684 -3.367 0.879
-1.684 -3.163 0.816
-1.684 -2.959 0.753
-1.684 -2.755 0.692
-1.684 -2.551 0.631
-1.684 -2.347 0.571
-1.684 -2.143 0.513
-1.684 -1.939 0.457
-1.684 -1.735 0.403
-1.684 -1.531 0.351
-1.684 -1.327 0.303
-1.684 -1.122 0.340
-1.684 -0.918 0.759
-1.684 -0.714 1.049
-1.684 -0.510 1.237
-1.684 -0.306 1.386
-1.684 -0.102 1.535
-1.684 0.102 1.709
-1.684 0.306 1.918
-1.684 0.510 2.158
-1.684 0.714 2.417
-1.684 0.918 2.683
-1.684 1.122 2.947
-1.684 1.327 3.205
-1.684 1.531 3.453
-1.684 1.735 3.691
-1.684 1.939 3.918
-1.684 2.143 4.135
-1.684 2.347 4.344
-1.684 2.551 4.544
-1.684 2.755 4.736
-1.684 2.959 4.921
-1.684 3.163 5.100
-1.684 3.367 5.273
-1.684 3.571 5.442
-1.684 3.776 5.605
-1.684 3.980 5.764
-1.684 4.184 5.920
-1.684 4.388 6.071
-1.684 4.592 6.220
-1.684 4.796 6.365
-1.684 5.000 6.508
-1.582 -5.000 1.392
-1.582 -4.796 1.326
-1.582 -4.592 1.260
-1.582 -4.388 1.195
-1.582 -4.184 1.130
-1.582 -3.980 1.064
-1.582 -3.776 0.999
-1.582 -3.571 0.935
-1.582 -3.367 0.870
-1.582 -3.163 0.807
-1.582 -2.959 0.743
-1.582 -2.755 0.681
-1.582 -2.551 0.619
-1.582 -2.347 0.558
-1.582 -2.143 0.499
-1.582 -1.939 0.441
-1.582 -1.735 0.385
-1.582 -1.531 0.332
-1.582 -1.327 0.282
-1.582 -1.122 0.236
-1.582 -0.918 0.523
-1.582 -0.714 0.839
-1.582 -0.510 1.030
-1.582 -0.306 1.166
-1.582 -0.102 1.303
-1.582 0.102 1.477
-1.582 0.306 1.700
-1.582 0.510 1.962
-1.582 0.714 2.245
-1.582 0.918 2.534
-1.582 1.122 2.817
-1.582 1.327 3.090
-1.582 1.531 3.350
-1.582 1.735 3.598
-1.582 1.939 3.833
-1.582 2.143 4.057
-1.582 2.347 4.270
-1.582 2.551 4.474
-1.582 2.755 4.670
-1.582 2.959 4.858
-1.582 3.163 5.040
-1.582 3.367 5.215
-1.582 3.571 5.385
-1.582 3.776 5.551
-1.582 3.980 5.711
-1.582 4.184 5.868
-1.582 4.388 6.021
-1.582 4.592 6.171
-1.582 4.796 6.317
-1.582 5.000 6.461
-1.480 -5.000 1.387
-1.480 -4.796 1.322
-1.480 -4.592 1.256
-1.480 -4.388 1.190
-1.480 -4.184 1.124
-1.480 -3.980 1.058
-1.480 -3.776 0.993
-1.480 -3.571 0.928
-1.480 -3.367 0.863
-1.480 -3.163 0.798
-1.480 -2.959 0.734
-1.480 -2.755 0.671
-1.480 -2.551 0.608
-1.480 -2.347 0.546
-1.480 -2.143 0.486
-1.480 -1.939 0.426
-1.480 -1.735 0.369
-1.480 -1.531 0.314
-1.480 -1.327 0.262
-1.480 -1.122 0.214
-1.480 -0.918 0.309
-1.480 -0.714 0.604
-1.480 -0.510 0.795
-1.480 -0.306 0.909
-1.480 -0.102 1.025
-1.480 0.102 1.200
-1.480 0.306 1.446
-1.480 0.510 1.743
-1.480 0.714 2.060
-1.480 0.918 2.377
-1.480 1.122 2.683
-1.480 1.327 2.973
-1.480 1.531 3.247
-1.480 1.735 3.505
-1.480 1.939 3.748
-1.480 2.143 3.978
-1.480 2.347 4.196
-1.480 2.551 4.405
-1.480 2.755 4.604
-1.480 2.959 4.795
-1.480 3.163 4.979
-1.480 3.367 5.157
-1.480 3.571 5.329
-1.480 3.776 5.496
-1.480 3.980 5.659
-1.480 4.184 5.817
-1.480 4.388 5.971
-1.480 4.592 6.122
-1.480 4.796 6.269
-1.480 5.000 6.414
-1.378 -5.000 1.384
-1.378 -4.796 1.318
-1.378 -4.592 1.251
-1.378 -4.388 1.185
-1.378 -4.184 1.119
-1.378 -3.980 1.053
-1.378 -3.776 0.987
-1.378 -3.571 0.921
-1.378 -3.367 0.856
-1.378 -3.163 0.791
-1.378 -2.959 0.726
-1.378 -2.755 0.662
-1.378 -2.551 0.598
-1.378 -2.347 0.535
-1.378 -2.143 0.473
-1.378 -1.939 0.413
-1.378 -1.735 0.354
-1.378 -1.531 0.297
-1.378 -1.327 0.243
-1.378 -1.122 0.193
-1.378 -0.918 0.152
-1.378 -0.714 0.393
-1.378 -0.510 0.532
-1.378 -0.306 0.585
-1.378 -0.102 0.649
-1.378 0.102 0.834
-1.378 0.306 1.134
-1.378 0.510 1.489
-1.378 0.714 1.856
-1.378 0.918 2.211
-1.378 1.122 2.544
-1.378 1.327 2.855
-1.378 1.531 3.143
-1.378 1.735 3.412
-1.378 1.939 3.663
-1.378 2.143 3.900
-1.378 2.347 4.123
-1.378 2.551 4.336
-1.378 2.755 4.538
-1.378 2.959 4.733
-1.378 3.163 4.919
-1.378 3.367 5.099
-1.378 3.571 5.273
-1.378 3.776 5.442
-1.378 3.980 5.606
-1.378 4.184 5.766
-1.378 4.388 5.921
-1.378 4.592 6.073
-1.378 4.796 6.222
-1.378 5.000 6.367
-1.276 -5.000 1.381
-1.276 -4.796 1.314
-1.276 -4.592 1.248
-1.276 -4.388 1.181
-1.276 -4.184 1.115
-1.276 -3.980 1.049
-1.276 -3.776 0.982
-1.276 -3.571 0.916
-1.276 -3.367 0.850
-1.276 -3.163 0.784
-1.276 -2.959 0.719
-1.276 -2.755 0.654
-1.276 -2.551 0.589
-1.276 -2.347 0.525
-1.276 -2.143 0.462
-1.276 -1.939 0.401
-1.276 -1.735 0.340
-1.276 -1.531 0.282
-1.276 -1.327 0.226
-1.276 -1.122 0.173
-1.276 -0.918 0.125
-1.276 -0.714 0.221
-1.276 -0.510 0.301
-1.276 -0.306 0.261
-1.276 -0.102 0.214
-1.276 0.102 0.316
-1.276 0.306 0.684
-1.276 0.510 1.181
-1.276 0.714 1.629
-1.276 0.918 2.034
-1.276 1.122 2.401
-1.276 1.327 2.734
-1.276 1.531 3.039
-1.276 1.735 3.319
-1.276 1.939 3.579
-1.276 2.143 3.822
-1.276 2.347 4.051
-1.276 2.551 4.267
-1.276 2.755 4.473
-1.276 2.959 4.671
-1.276 3.163 4.860
-1.276 3.367 5.042
-1.276 3.571 5.218
-1.276 3.776 5.388
-1.276 3.980 5.554
-1.276 4.184 5.715
-1.276 4.388 5.872
-1.276 4.592 6.025
-1.276 4.796 6.174
-1.276 5.000 6.321
-1.173 -5.000 1.378
-1.173 -4.796 1.312
-1.173 -4.592 1.245
-1.173 -4.388 1.178
-1.173 -4.184 1.112
-1.173 -3.980 1.045
-1.173 -3.776 0.978
-1.173 -3.571 0.912
-1.173 -3.367 0.845
-1.173 -3.163 0.779
-1.173 -2.959 0.713
-1.173 -2.755 0.647
-1.173 -2.551 0.582
-1.173 -2.347 0.517
-1.173 -2.143 0.453
-1.173 -1.939 0.390
-1.173 -1.735 0.328
-1.173 -1.531 0.268
-1.173 -1.327 0.210
-1.173 -1.122 0.155
-1.173 -0.918 0.105
-1.173 -0.714 0.083
-1.173 -0.510 0.118
-1.173 -0.306 0.000
-1.173 -0.102 0.000
-1.173 0.102 0.000
-1.173 0.306 0.097
-1.173 0.510 0.752
-1.173 0.714 1.366
-1.173 0.918 1.846
-1.173 1.122 2.254
-1.173 1.327 2.613
-1.173 1.531 2.934
-1.173 1.735 3.226
-1.173 1.939 3.495
-1.173 2.143 3.745
-1.173 2.347 3.979
-1.173 2.551 4.199
-1.173 2.755 4.409
-1.173 2.959 4.609
-1.173 3.163 4.800
-1.173 3.367 4.985
-1.173 3.571 5.163
-1.173 3.776 5.335
-1.173 3.980 5.502
-1.173 4.184 5.664
-1.173 4.388 5.822
-1.173 4.592 5.976
-1.173 4.796 6.127
-1.173 5.000 6.275
-1.071 -5.000 1.377
-1.071 -4.796 1.310
-1.071 -4.592 1.243
-1.071 -4.388 1.176
-1.071 -4.184 1.109
-1.071 -3.980 1.042
-1.071 -3.776 0.975
-1.071 -3.571 0.908
-1.071 -3.367 0.841
-1.071 -3.163 0.774
-1.071 -2.959 0.707
-1.071 -2.755 0.641
-1.071 -2.551 0.575
-1.071 -2.347 0.509
-1.071 -2.143 0.444
-1.071 -1.939 0.380
-1.071 -1.735 0.317
-1.071 -1.531 0.255
-1.071 -1.327 0.196
-1.071 -1.122 0.139
-1.071 -0.918 0.085
-1.071 -0.714 0.037
-1.071 -0.510 0.000
-1.071 -0.306 0.000
-1.071 -0.102 0.000
-1.071 0.102 0.000
-1.071 0.306 0.000
-1.071 0.510 0.166
-1.071 0.714 1.047
-1.071 0.918 1.642
-1.071 1.122 2.103
-1.071 1.327 2.491
-1.071 1.531 2.830
-1.071 1.735 3.135
-1.071 1.939 3.412
-1.071 2.143 3.668
-1.071 2.347 3.907
-1.071 2.551 4.132
-1.071 2.755 4.345
-1.071 2.959 4.548
-1.071 3.163 4.742
-1.071 3.367 4.928
-1.071 3.571 5.108
-1.071 3.776 5.281
-1.071 3.980 5.450
-1.071 4.184 5.613
-1.071 4.388 5.773
-1.071 4.592 5.928
-1.071 4.796 6.080
-1.071 5.000 6.228
-0.969 -5.000 1.376
-0.969 -4.796 1.309
-0.969 -4.592 1.241
-0.969 -4.388 1.174
-0.969 -4.184 1.107
-0.969 -3.980 1.040
-0.969 -3.776 0.972
-0.969 -3.571 0.905
-0.969 -3.367 0.838
-0.969 -3.163 0.770
-0.969 -2.959 0.703
-0.969 -2.755 0.636
-0.969 -2.551 0.570
-0.969 -2.347 0.503
-0.969 -2.143 0.437
-0.969 -1.939 0.372
-0.969 -1.735 0.308
-0.969 -1.531 0.244
-0.969 -1.327 0.183
-0.969 -1.122 0.124
-0.969 -0.918 0.068
-0.969 -0.714 0.017
-0.969 -0.510 0.000
-0.969 -0.306 0.000
-0.969 -0.102 0.000
-0.969 0.102 0.000
-0.969 0.306 0.000
-0.969 0.510 0.000
-0.969 0.714 0.598
-0.969 0.918 1.420
-0.969 1.122 1.947
-0.969 1.327 2.368
-0.969 1.531 2.727
-0.969 1.735 3.044
-0.969 1.939 3.330
-0.969 2.143 3.593
-0.969 2.347 3.837
-0.969 2.551 4.065
-0.969 2.755 4.281
-0.969 2.959 4.487
-0.969 3.163 4.683
-0.969 3.367 4.871
-0.969 3.571 5.053
-0.969 3.776 5.228
-0.969 3.980 5.398
-0.969 4.184 5.563
-0.969 4.388 5.724
-0.969 4.592 5.880
-0.969 4.796 6.033
-0.969 5.000 6.182
-0.867 -5.000 1.375
-0.867 -4.796 1.308
-0.867 -4.592 1.241
-0.867 -4.388 1.173
-0.867 -4.184 1.106
-0.867 -3.980 1.038
-0.867 -3.776 0.971
-0.867 -3.571 0.903
-0.867 -3.367 0.836
-0.867 -3.163 0.768
-0.867 -2.959 0.700
-0.867 -2.755 0.633
-0.867 -2.551 0.565
-0.867 -2.347 0.498
-0.867 -2.143 0.432
-0.867 -1.939 0.365
-0.867 -1.735 0.300
-0.867 -1.531 0.235
-0.867 -1.327 0.172
-0.867 -1.122 0.111
-0.867 -0.918 0.052
-0.867 -0.714 0.000
-0.867 -0.510 0.000
-0.867 -0.306 0.000
-0.867 -0.102 0.000
-0.867 0.102 0.000
-0.867 0.306 0.000
-0.867 0.510 0.000
-0.867 0.714 0.090
-0.867 0.918 1.173
-0.867 1.122 1.789
-0.867 1.327 2.247
-0.867 1.531 2.626
-0.867 1.735 2.955
-0.867 1.939 3.250
-0.867 2.143 3.518
-0.867 2.347 3.767
-0.867 2.551 3.999
-0.867 2.755 4.218
-0.867 2.959 4.426
-0.867 3.163 4.625
-0.867 3.367 4.815
-0.867 3.571 4.998
-0.867 3.776 5.175
-0.867 3.980 5.347
-0.867 4.184 5.513
-0.867 4.388 5.675
-0.867 4.592 5.832
-0.867 4.796 5.986
-0.867 5.000 6.136
-0.765 -5.000 1.375
-0.765 -4.796 1.308
-0.765 -4.592 1.241
-0.765 -4.388 1.173
-0.765 -4.184 1.106
-0.765 -3.980 1.038
-0.765 -3.776 0.970
-0.765 -3.571 0.902
-0.765 -3.367 0.834
-0.765 -3.163 0.766
-0.765 -2.959 0.698
-0.765 -2.755 0.630
-0.765 -2.551 0.562
-0.765 -2.347 0.495
-0.765 -2.143 0.427
-0.765 -1.939 0.360
-0.765 -1.735 0.294
-0.765 -1.531 0.228
-0.765 -1.327 0.163
-0.765 -1.122 0.099
-0.765 -0.918 0.038
-0.765 -0.714 0.000
-0.765 -0.510 0.000
-0.765 -0.306 0.000
-0.765 -0.102 0.000
-0.765 0.102 0.000
-0.765 0.306 0.000
-0.765 0.510 0.000
-0.765 0.714 0.000
-0.765 0.918 0.886
-0.765 1.122 1.630
-0.765 1.327 2.128
-0.765 1.531 2.527
-0.765 1.735 2.868
-0.765 1.939 3.171
-0.765 2.143 3.445
-0.765 2.347 3.698
-0.765 2.551 3.934
-0.765 2.755 4.156
-0.765 2.959 4.367
-0.765 3.163 4.567
-0.765 3.367 4.759
-0.765 3.571 4.944
-0.765 3.776 5.123
-0.765 3.980 5.295
-0.765 4.184 5.463
-0.765 4.388 5.626
-0.765 4.592 5.784
-0.765 4.796 5.939
-0.765 5.000 6.091
-0.663 -5.000 1.376
-0.663 -4.796 1.309
-0.663 -4.592 1.241
-0.663 -4.388 1.174
-0.663 -4.184 1.106
-0.663 -3.980 1.038
-0.663 -3.776 0.970
-0.663 -3.571 0.902
-0.663 -3.367 0.834
-0.663 -3.163 0.766
-0.663 -2.959 0.697
-0.663 -2.755 0.629
-0.663 -2.551 0.561
-0.663 -2.347 0.492
-0.663 -2.143 0.424
-0.663 -1.939 0.357
-0.663 -1.735 0.289
