x y u v
-1.658 4.632 -5.985 -12.288
-1.289 4.632 -4.637 -10.585
-0.921 4.632 -3.305 -8.881
-0.553 4.632 -1.988 -7.186
-0.184 4.632 -0.694 -5.512
0.184 4.632 0.613 -3.835
0.553 4.632 1.968 -2.128
0.921 4.632 3.332 -0.412
1.289 4.632 4.666 1.304
1.658 4.632 5.984 3.017
2.026 4.632 7.702 4.077
2.395 4.632 9.400 5.077
2.763 4.632 10.899 6.253
3.132 4.632 12.205 7.414
3.500 4.632 13.391 8.466
-3.500 5.474 -14.587 -23.436
-3.132 5.474 -13.326 -21.812
-2.763 5.474 -11.948 -20.073
-2.395 5.474 -10.484 -18.256
-2.026 5.474 -8.948 -16.372
-1.658 5.474 -7.342 -14.420
-1.289 5.474 -5.693 -12.434
-0.921 5.474 -4.070 -10.467
-0.553 5.474 -2.502 -8.532
-0.184 5.474 -0.960 -6.610
0.184 5.474 0.615 -4.658
0.553 5.474 2.288 -2.628
0.921 5.474 4.001 -0.559
1.289 5.474 5.654 1.486
1.658 5.474 7.228 3.472
2.026 5.474 9.057 5.035
2.395 5.474 11.056 6.191
2.763 5.474 12.927 7.307
3.132 5.474 14.637 8.463
3.500 5.474 16.080 9.705
-3.500 6.316 -16.992 -26.573
-3.132 6.316 -15.492 -24.706
-2.763 6.316 -13.893 -22.748
-2.395 6.316 -12.212 -20.716
-2.026 6.316 -10.462 -18.623
-1.658 6.316 -8.651 -16.481
-1.289 6.316 -6.783 -14.296
-0.921 6.316 -4.896 -12.088
-0.553 6.316 -3.068 -9.908
-0.184 6.316 -1.278 -7.738
0.184 6.316 0.549 -5.519
0.553 6.316 2.528 -3.169
0.921 6.316 4.539 -0.799
1.289 6.316 6.464 1.517
1.658 6.316 8.286 3.760
2.026 6.316 10.102 5.798
2.395 6.316 12.381 7.114
2.763 6.316 14.563 8.387
3.132 6.316 16.601 9.598
3.500 6.316 18.482 10.746
-3.500 7.158 -19.204 -29.447
-3.132 7.158 -17.499 -27.383
-2.763 7.158 -15.713 -25.254
-2.395 7.158 -13.851 -23.059
-2.026 7.158 -11.922 -20.806
-1.658 7.158 -9.925 -18.496
-1.289 7.158 -7.870 -16.137
-0.921 7.158 -5.787 -13.737
-0.553 7.158 -3.685 -11.299
-0.184 7.158 -1.629 -8.860
0.184 7.158 0.429 -6.396
0.553 7.158 2.641 -3.810
0.921 7.158 4.918 -1.174
1.289 7.158 7.097 1.392
1.658 7.158 9.143 3.859
2.026 7.158 11.066 6.215
2.395 7.158 13.413 7.846
2.763 7.158 15.826 9.243
3.132 7.158 18.153 10.597
3.500 7.158 20.348 11.888
-3.500 8.000 -21.256 -32.130
-3.132 8.000 -19.393 -29.926
-2.763 8.000 -17.449 -27.654
-2.395 8.000 -15.428 -25.320
-2.026 8.000 -13.334 -22.923
-1.658 8.000 -11.160 -20.457
-1.289 8.000 -8.935 -17.933
-0.921 8.000 -6.668 -15.346
-0.553 8.000 -4.355 -12.687
-0.184 8.000 -2.048 -10.006
0.184 8.000 0.221 -7.338
0.553 8.000 2.641 -4.539
0.921 8.000 5.154 -1.669
1.289 8.000 7.549 1.104
1.658 8.000 9.801 3.771
2.026 8.000 11.924 6.327
2.395 8.000 14.222 8.419
2.763 8.000 16.829 9.926
3.132 8.000 19.352 11.380
3.500 8.000 21.794 12.789
